标题,标题链接,地区,省/城市,地级城市,工作经验,工作经验_float,学历,学历_int,公司名称,公司性质,公司规模,行业领域_第一段,国民经济行业分类,薪资,薪资下区间,薪资上区间,薪资单位,职能中类,职能大类,发布时间,年份,采集时的时间,职位信息,分词
固收量化交易支持岗（上海） [薪资相同],https://jobs.51job.com/shanghai/140504855.html,上海,上海,上海,在校生/应届生,0,硕士,6,上海华鑫股份有限公司,国企,,金融/投资/证券,金融业,3千及以下,3,3,千/月,储备干部,政府机构/翻译/其他,10-10发布,2022,,岗位职责??????1、运用编程技术协助投资经理参与交易策略的开发、回测、自动化交易实现；2、协助投资经理对参与投资品种的数据分析建模3、结合市场信息，捕捉交易机会，提供交易建议????任职要求?????1、硕士在读，2023年毕业；2、金融工程、数学、金融学等相关专业，有金融衍生量化实操经验优先3、工作责任心强，吃苦耐劳，积极上进，具有良好的团队合作精神4、具备较强的持续学习能力，良好的团队沟通能力和反应能力，抗压力、执行力强?????????实习时间要求实习周期至少为3个月，一周到岗至少3个工作日为佳。?表现优异者提供留用机会。实习地点：上海????,"任职,表现,到,个,持续,3,团队,沟通,信息,2,时间,开发,参与,?,责任心,建模,交易,具有,执行力,实操,毕业,经验,精神,能力,进,数据分析,周期,对,结合,2023,具备,建议,1,岗位职责,策略,抗,压力,相关,回测,数学,实现,专业,工程,品种,优异者,机会,合作,硕士,等,衍生,工作,，,为,优先,一周,要求,经理,实习,量化,捕捉,较强,；,为佳,、,提供,运用,上海,。,：,岗,自动化,投资,月,市场,上,积极,年,金融学,良好,至少,金融,学习,编程技术,强,和,在读,有,吃苦耐劳,4,地点,协助,的,反应,工作日,留用"
固收量化交易支持岗 [薪资相同],https://jobs.51job.com/shanghai/140504855.html,上海,上海,上海,在校生/应届生,0,硕士,6,上海华鑫股份有限公司,国企,,金融/投资/证券,金融业,3千及以下,3,3,千/月,储备干部,政府机构/翻译/其他,06-20发布,2022,,岗位职责??????1、运用编程技术协助投资经理参与交易策略的开发、回测、自动化交易实现；2、协助投资经理对参与投资品种的数据分析建模3、结合市场信息，捕捉交易机会，提供交易建议????任职要求?????1、硕士在读，2023年毕业；2、金融工程、数学、金融学等相关专业，有金融衍生量化实操经验优先3、工作责任心强，吃苦耐劳，积极上进，具有良好的团队合作精神4、具备较强的持续学习能力，良好的团队沟通能力和反应能力，抗压力、执行力强?????????实习时间要求实习周期至少为3个月，一周到岗至少3个工作日为佳。?表现优异者提供留用机会。实习地点：上海????,"任职,表现,到,个,持续,3,团队,沟通,信息,2,时间,开发,参与,?,责任心,建模,交易,具有,执行力,实操,毕业,经验,精神,能力,进,数据分析,周期,对,结合,2023,具备,建议,1,岗位职责,策略,抗,压力,相关,回测,数学,实现,专业,工程,品种,优异者,机会,合作,硕士,等,衍生,工作,，,为,优先,一周,要求,经理,实习,量化,捕捉,较强,；,为佳,、,提供,运用,上海,。,：,岗,自动化,投资,月,市场,上,积极,年,金融学,良好,至少,金融,学习,编程技术,强,和,在读,有,吃苦耐劳,4,地点,协助,的,反应,工作日,留用"
量化研究员,https://jobs.51job.com/shanghai/141510246.html,上海,上海,上海,3-4年经验,3.5,本科,5,上海双隆投资有限公司,民营公司,50-150人,金融/投资/证券,金融业,1.8-3.5万,18,35,千/月,金融/证券/期货/投资,会计/金融/银行/保险,09-12发布,2022,,职责描述：1、设计主导课题研究，挖掘分析市场数据；2、通过量化策略开发和优化，对公司现有量化策略体系进行补足、增强；3、通过合理组合策略，提高产品和大类资产的实盘表现；4、撰写评估分析报告。任职要求：1、金融工程、数量经济、计算机或理工相关专业，***/***大学、海外名校研究生及以上学历优先考虑；2、熟悉金融学或者金融工程原理，善于数学建模、编程运算、优化求解；3、对量化投资有高度热情；4、逻辑清晰、学习能力强、善于沟通协作；5、有实盘经验者优先考虑。,"能力,补足,/,高度,计算机,投资,组合,金融学,逻辑,1,；,求解,原理,合理,的,学习,优化,公司,量化,产品,沟通,或,：,强,分析,4,体系,者,实盘,协作,报告,数学,主导,要求,现有,表现,提高,清晰,热情,海外,职责,市场,专业,熟悉,工程,5,考虑,*,2,有,挖掘,描述,策略,金融,编程,理工,课题,开发,经济,3,建模,以上学历,数量,。,或者,研究,撰写,运算,设计,名校,及,和,研究生,善于,通过,数据,进行,相关,评估,经验,优先,对,增强,任职,大类,，,大学,、,资产"
量化策略研究员,https://jobs.51job.com/shenzhen-ftq/140485388.html,深圳-福田区,深圳,深圳,1年经验,1,本科,5,中量投资产管理有限公司,民营,少于50人,金融/投资/证券,金融业,1.2-2万,12,20,千/月,金融/证券/期货/投资,会计/金融/银行/保险,11-14发布,2022,,岗位职责：1、深入挖掘股票、期货，期权市场的各种数据，从中提取有效信息编写策略；2、协助PM开发交易策略，进行策略回测和参数调试，总结规律，提供有效的策略建议和研究报告；3、维护研究平台，统计实盘策略相关的各项指标.岗位要求：1、本科及以上学历，数学、物理、计算机、金融工程等理工科类专业，或与数量分析、量化交易等高度相关的复合专业背景；2、有出色的编程能力，精通python/C++，熟悉SQL数据库； 3、有扎实的数学、统计理论基础，对数据有很强的敏感性。4、对量化投资有热情，有志于在量化行业长期发展，具有团队协作精神，专注，学习能力强。5、熟悉各类金融产品的交易规则，有量化行业一年以上工作/实习经验者尤佳。,"统计,基础,或,物理,.,编程,3,岗位,团队,精通,信息,2,尤佳,开发,复合,各类,python,敏感性,交易,具有,指标,经验,能力,行业,精神,股票,出色,编写,理工科,实盘,对,5,专注,计算机,长期,PM,SQL,发展,扎实,总结,以上,建议,1,岗位职责,策略,背景,相关,产品,回测,数学,交易规则,分析,专业,C++,规律,报告,工程,等,及,工作,，,参数,/,深入,要求,数量,各种,实习,一年,维护,数据,量化,类,；,很,本科,在,高度,、,以上学历,提供, ,进行,。,调试,协作,投资,热情,市场,与,有志于,从中,研究,挖掘,熟悉,平台,金融,理论,期权,学习,和,各项,数据库,强,者,有,4,协助,的,有效,期货,：,提取"
AI量化工程（金融科技部）,https://jobs.51job.com/nanjing/147042454.html,南京-建邺区,南京,南京,1年经验,1,硕士,6,南京证券股份有限公司,国企,1000-5000人,金融/投资/证券,金融业,1.5-3万,15,30,千/月,通信技术开发与应用,通信/电子,05-04发布,2023,,工作职责:1.负责量化投研基本面分析、风险分析、量化因子体系、智能交易风控、智能投研、基本面分析、推荐算法系统等模型算法研发；2.利用大数据分析和AI算法优化和改进二级市场投资逻辑和流程，完成模型构建和算法实现并持续迭代优化。任职资格:1.35周岁以下，***硕士研究生及以上学历，计算机、数学、金融工程、数量经济学相关专业，有良好的数理基础及算法分析能力；2.良好扎实的编程功底，精通Python、R、Matlab其中之一，C++、Java其中之一；3.熟悉机器学习和深度学习，对机器学习、深度学习有实战经验，有较强的数学基础，对数据预处理、特征工程等有丰富的经验；4.了解资产配置组合管理、衍生品定价、风险管理等模型，有量化交易系统开发经验优先；5.有顶会论文、开源项目、算法竞赛经验者、CFA、CPA等专业资质优先，通过证券、期货投资分析等相关考试优先。,":,资质,数量,改进,周岁,投资,负责,.,体系,交易,其中,证券,实战经验,任职,1.35,金融,基础,投研,及,优先,利用,数据分析,数理,资格,专业,基本面,项目,硕士,预处理,计算机,构建,功底,3,因子,精通,以下,完成,数学,扎实,者,逻辑,特征,5,定价,学习,CFA,、,并,CPA,期货,实现,深度,管理,市场,通过,职责,分析,强,数据,论文,开源,之一,经济学,组合,交易系统,以上学历,Matlab,衍生品,Java,1,对,迭代,风险,编程,；,配置,丰富,*,4,顶会,流程,优化,竞赛,相关,了解,智能,资产,能力,风控,算法,R,熟悉,。,良好,工作,AI,研究生,等,和,开发,系统,模型,考试,工程,有,大,推荐,研发,Python,较,，,C++,持续,二级,机器,量化,2,的,风险管理,经验"
量化风控与模型岗（实习）,https://jobs.51job.com/shenzhen-ftq/125661589.html,深圳-福田区,深圳,深圳,在校生/应届生,0,本科,5,国信期货有限责任公司,国企,150-500人,金融/投资/证券,金融业,1.5-2千/月,1.5,2,千/月,金融/证券/期货/投资,会计/金融/银行/保险,05-23发布,2022,,1.协助风控人员对场外期权定价模型、波动率模型等进行验证分析，使用历史行情数据对定价进行回测等；2.参与风险管理子公司相关数据整理和分析，协助建立各类策略的业绩归因研究体系；3.协助开发各业务风险计量模型、设置压力测试情景和完善风险指标体系；4.公司领导交办的其他事项。任职资格要求：1. 2021/2022届本科生或硕士研究生；2. 具有金融、金融数学、统计、计算机或其他理工科专业背景；3. 熟练掌握各类办公软件，具备一定的编程能力（VBA、Python、R、MATLAB等），学习能力强，具有良好的团队协作意识；4. 通过相关专业资质考试（CFA、FRM等），具有期货、券商、银行、基金公司实习经历者优先；5. 保证3个月以上，每周不少于3天的实习，表现优异者可留用。,"统计,一定,任职,或,软件,体系,熟练掌握,表现,.,VBA,个,整理,编程,3,团队,2,完善,开发,各类,参与, ,业务,行情,领导,保证,具有,测试,公司,能力,届,业绩,天,率,理工科,本科生,对,5,其他,计算机,历史,波动,（,MATLAB,券商,具备,指标体系,各,以上,办公,1,考试,建立,策略,计量,背景,经历,压力,相关,CFA,回测,数学,Python,银行,分析,模型,专业,2021,通过,研究生,优异者,硕士,等,，,定价,优先,/,2022,归因,风险,要求,资质,设置,实习,风控,数据,留用,；,、,子公司,进行,FRM,。,不少,协作,于,月,人员,使用,事项,情景,验证,研究,良好,风险管理,交办,场外,R,金融,学习,期权,和,强,者,4,协助,的,可,基金,期货,）,每周,意识,：,资格"
量化CTA投资经理（总部）,https://jobs.51job.com/hangzhou/147631024.html,杭州-萧山区,杭州,杭州,3-4年经验,3.5,本科,5,信达期货有限公司,国企,150-500人,金融/投资/证券,金融业,2.5-5万,25,50,千/月,投融资,金融,06-19发布,2023,,工作职责：1.利用统计学和数学工具，进行量化策略指标、数量化和程序化对冲交易或组合投资、基于衍生工具的套利及套期保值策略、风险管理、投资组合管理、风险绩效评估和业绩绩效归因分析等研发、测试，并在实际交易中不断完善；2.投资策略设计、开发、评估和优化；3.撰写投资策略报告，并制定相关交易计划；4.完善量化投资体系。任职要求：1. 原则上年龄不超过40岁，特别优秀的可适当放宽；2. 金融、经济、数学、计算机等相关专业研究生及以上学历；3.有较好的编程能力，熟练掌握Python和C++，两年以上策略研发经验，一年以上的投资业绩；4.在数学、统计学方面有扎实的理论基础和应用能力，能独立完成建模分析等工作；5.同等条件下，中共党员优先考虑。,"不,一年,同等条件,建模,评估,投资,统计学,或,可,.,体系,交易,下,经济,优秀,完善,设计,任职,金融,好,基础,及, ,两年,绩效,优先,理论,利用,以上,套利,套期,专业,考虑,工具,超过,适当,计算机,计划,3,的,完成,制定,数学,在,扎实,放宽,实际,5,、,并,管理,归因,职责,策略,分析,独立,对冲,组合,中共党员,以上学历,1,岁,撰写,风险,编程,测试,方面,程序化,4,能,优化,相关,能力,基于,中,。,：,工作,保值,业绩,40,研究生,熟练掌握,和,等,原则上,应用,不断完善,报告,开发,特别,指标,进行,年龄,有,衍生,研发,Python,较,，,数量化,C++,要求,量化,2,；,风险管理,经验"
量化风控与模型岗（实习）,https://jobs.51job.com/shenzhen-luohuqu/125661589.html,深圳-罗湖区,深圳,深圳,在校生/应届生,0,本科,5,国信期货有限责任公司,国企,150-500人,金融/投资/证券,金融业,1.5-2千/月,1.5,2,千/月,金融/证券/期货/投资,会计/金融/银行/保险,04-25发布,2022,,1.协助风控人员对场外期权定价模型、波动率模型等进行验证分析，使用历史行情数据对定价进行回测等；2.参与风险管理子公司相关数据整理和分析，协助建立各类策略的业绩归因研究体系；3.协助开发各业务风险计量模型、设置压力测试情景和完善风险指标体系；4.公司领导交办的其他事项。任职资格要求：1. 2021/2022届本科生或硕士研究生；2. 具有金融、金融数学、统计、计算机或其他理工科专业背景；3. 熟练掌握各类办公软件，具备一定的编程能力（VBA、Python、R、MATLAB等），学习能力强，具有良好的团队协作意识；4. 通过相关专业资质考试（CFA、FRM等），具有期货、券商、银行、基金公司实习经历者优先；5. 保证3个月以上，每周不少于3天的实习，表现优异者可留用。,"统计,一定,任职,或,软件,体系,熟练掌握,表现,.,VBA,个,整理,编程,3,团队,2,完善,开发,各类,参与, ,业务,行情,领导,保证,具有,测试,公司,能力,届,业绩,天,率,理工科,本科生,对,5,其他,计算机,历史,波动,（,MATLAB,券商,具备,指标体系,各,以上,办公,1,考试,建立,策略,计量,背景,经历,压力,相关,CFA,回测,数学,Python,银行,分析,模型,专业,2021,通过,研究生,优异者,硕士,等,，,定价,优先,/,2022,归因,风险,要求,资质,设置,实习,风控,数据,留用,；,、,子公司,进行,FRM,。,不少,协作,于,月,人员,使用,事项,情景,验证,研究,良好,风险管理,交办,场外,R,金融,学习,期权,和,强,者,4,协助,的,可,基金,期货,）,每周,意识,：,资格"
资产管理中心-投资管理部-量化组-量化研究员,https://jobs.51job.com/shanghai/138116097.html,上海,上海,上海,在校生/应届生,0,硕士,6,中信期货有限公司,国企,,金融/投资/证券,金融业,1-2万/月,10,20,千/月,金融/证券/期货/投资,会计/金融/银行/保险,02-21发布,2022,,岗位职责：1、 研究国内金融市场，收集、分析和处理各类金融数据，涉及股票、期货、期权等品种；2、 协助投资经理进行量化策略开发所涉及的必要工作，包括因子开发，模型开发，策略开发；3、 交易策略的持续跟踪，优化和改进量化交易策略，绩效归因分析；4、 其他专项研究课题及相关工作。岗位要求：1、 硕士及以上学历，数学、计算机、金融学或数量经济学、金融工程相关专业；2、 扎实的数学建模及严谨的逻辑推导能力，充分掌握概率、统计等方法，熟悉机器学习、深度学习、人工智能等优先；3、 良好的编程能力，熟练使用Python/Matlab/R；4、 热爱量化研究工作，良好的沟通能力和团队协作精神。,"能力,经理,/,统计,收集,计算机,持续,包括,投资,团队,金融学,跟踪,1,逻辑,；,模型,的,学习,优化,精神,国内,量化,良好,R,Matlab,沟通,或,：,品种,分析,4,研究课题,熟练,绩效,协作,热爱, ,必要,数学,交易,要求,严谨,使用,岗位职责,充分,深度,机器,岗位,处理,专业,熟悉,期权,工程,期货,涉及,所,改进,股票,2,Python,金融,策略,编程,推导,开发,协助,经济学,人工智能,3,建模,硕士,各类,数量,方法,以上学历,。,研究,及,和,因子,专项,掌握,概率,工作,金融市场,数据,进行,相关,其他,归因,扎实,等,优先,，,、"
量化交易系统开发工程师,https://jobs.51job.com/beijing-hdq/131658235.html,北京-海淀区,北京,北京,2年经验,2,本科,5,交叉科技（北京）有限公司,民营公司,少于50人,计算机服务(系统、数据服务、维修),信息传输、软件和信息技术服务业,1.5-2万/月,15,20,千/月,后端开发,计算机/互联网/通信/电子,02-21发布,2022,,【岗位职责】1. 负责量化交易系统的开发与支持工作；2. 负责量化回测、实盘交易、舆情监控等量化平台核心代码开发。【任职要求】1. 本科以上学历，计算机、数学、金融相关专业优先；2. 了解C++的linux系统下的高性能编程；3. 熟悉C++的boosting库；asio通信库；4. 熟悉zmq，protobuffer等常用工具；5. 熟悉Python对C++/c的库的封装、接口暴露等；6.做过量化交易系统，熟悉回测、模拟交易等平台的搭建。【岗位优势】国高新企业、项目分红、带薪年假、五险一金、股权激励、免费零食、弹性时间。,"任职,.,编程,3,模拟,岗位,五险,2,时间,protobuffer,带薪,高新,开发,零食, ,了解,企业,】,交易,boosting,linux,高性能,c,交易系统,asio,实盘,对,接口,5,计算机,一金,下,分红,1,舆情,岗位职责,相关,免费,回测,数学,Python,专业,C++,等,封装,国,工作,，,优先,/,项目,zmq,核心,要求,优势,监控,常用工具,支持,库,量化,搭建,；,本科,股权,、,以上学历, ,。,代码,做过,年,与,熟悉,激励,暴露,平台,金融,系统,弹性,4,负责,通信,6,的,假,【"
量化策略研究员,https://jobs.51job.com/kunshan/143320799.html,上海-徐汇区,上海,上海,无需经验,0,硕士,6,上海非凸智能科技有限公司,民营,150-500人,计算机软件,信息传输、软件和信息技术服务业,2-3万·14薪,20,30,千/月,证券,金融,06-17发布,2024,2024/6/22 15:52,岗位职责：1.对股票数据进行深入挖掘和建模，运用机器学习、深度学习等工具开发算法交易和国内市场高频交易策略。2.进行量化回测、模拟等工作，对实盘交易数据进行跟踪评价，有针对性地完善策略。 任职要求：1.硕士及以上学历，0-5年工作经验，统计、金融工程、数学、物理、计算机等相关专业优先。2.拥有股票多因子、CTA策略研究、机器学习、深度学习项目中的一种或多种经验。3.具备扎实的数理逻辑能力和统计学基础。高中阶段理科竞赛、各类大学生建模竞赛及机器学习竞赛中有获奖经历者优先。4.具备扎实的编程能力，熟练使用python进行数据处理、数据分析和策略开发。熟练掌握C++/Linux/Rust者优先。5.对量化策略研究有浓厚兴趣，热爱探索，注重细节。,"建模,工作,工程,.,高频,硕士,熟练, ,大学生,Rust,数学,地,交易,统计学,/,开发,金融,实盘,：,阶段,细节,及,优先,高中,有,年,项目,相关,市场,注重,针对性,、,编程,回测,基础,对,理科,要求,评价,的,2,竞赛,数理逻辑,熟练掌握,一种,工具,探索,进行,物理,完善,经验,扎实,4,能力,量化,C++,机器,数据处理,python,获奖,1,统计,多种,运用,等,模拟,。,数据分析,学习,和,跟踪,热爱,国内,浓厚兴趣,使用,中有,岗位职责,计算机,多因子,任职,或,研究,经历,中,深入,Linux,数据,-,拥有,各类,股票,挖掘,者,具备,以上学历,3,算法,，,0,专业,CTA,5,深度,策略"
量化交易,https://jobs.51job.com/shanghai/137697309.html,上海,上海,上海,3-4年经验,3.5,本科,5,新湖期货股份有限公司,民营公司,500-1000人,金融/投资/证券,金融业,1-2万/月,10,20,千/月,金融/证券/期货/投资,会计/金融/银行/保险,02-07发布,2022,,1.负责公司量化投资策略的制定和执行。根据部门规划，独立完成包括量化策略研究、投资组合分析和优化等工作，参与公司量化投研平台建设；2.具备较强的统计分析和数据建模能力，能够独立开发具有长期稳定盈利能力的股票或CTA量化策略。3.负责金融市场交易数据的研究和分析，负责公司股票或CTA量化交易模型的研发，包括数据建模、策略编写、回测、运行、维护、调整等过程。任职资格：1、做事细心、反应敏捷、逻辑思维清晰、分析能力较强；精力旺盛，抗压能力强；2、具备自主编程能力，有一定的证券、期货专业知识，了解金融市场各种投资工具交易规则，了解资产管理业务相关法律法规。3、具有金融行业或私募公司交易员或投资经理相关工作经验，已有成熟量化交易策略且实盘业绩良好的优先考虑。4、硕士学历，数学，物理，统计，计算机、金融工程等专业。,"能力,组合分析,经理,已有,统计,计算机,建设,资格,包括,学历,投资,做事,1,；,模型,逻辑思维,管理,的,优化,公司,量化,良好,独立,成熟,物理,法律法规,业绩,或,：,抗压,部门,强,分析,具备,4,具有,实盘,盈利,运行,调整,规划,数学,执行,交易,清晰,统计分析,回测,证券,维护,.,业务,工具,私募,交易员,CTA,完成,专业,过程,参与,工程,期货,了解,且,考虑,敏捷,平台,交易规则,股票,2,各种,有,稳定,能够,策略,金融,编程,制定,反应,开发,自主,编写,3,建模,硕士,。,研究,行业,投研,和,一定,研发,工作,金融市场,数据,专业知识,相关,根据,精力旺盛,经验,等,长期,优先,任职,公司股票,细心,，,、,较强,资产,负责"
量化研究员,https://jobs.51job.com/beijing-hdq/142813313.html,北京-海淀区,北京,北京,1年经验,1,本科,5,北京瑞鑫天算资产管理有限公司,民营,,计算机软件,信息传输、软件和信息技术服务业,1.5-3万,15,30,千/月,金融/证券/期货/投资,会计/金融/银行/保险,10-31发布,2022,,"岗位职责：1、研究多因子股票模型、CTA量化模型等量化相关策略与资产管理；2、利用机器学习、深度学习等数据挖掘方法对历史数据进行研究分析、开发投资模型及策略；3、基于另类数据源和海量数据挖掘模型开发新策略。任职要求：1、教育背景： 毕业或在读于国内外知名高校，金融工程、数学、统计、物理、计算机等相关专业，硕士及以上学历优先；2、熟悉统计建模、多元回归、时间序列分析等； 有机器学习特别是深度学习相关经验者优先；3、能运用数学和统计技术处理复杂数据集; 具备良好的编程技能并具有使用一个或多个统计软件的经验（如python、matlab、R）；4、 有股票、期货、外汇等金融投资经验者优先, 有Quant量化平台经验的优先，（有相关领域高水平论文发表，有相关领域工作和研究经历更佳）。","集,统计,知名,计算机,并,投资,多个,开发新,1,；,模型,发表,管理,（,的,学习,特别,能,量化,良好,物理,R,或,：,更佳,高水平,国内外,一个,基于,背景,技能,分析,具备,4,论文,具有,者,历史数据,于,时间, ,是,;,数学,要求,多元回归,使用,岗位职责,,,数据源,另类,深度,在读,CTA,机器,与,复杂,专业,处理,熟悉,工程,期货,matlab,平台,股票,软件,2,有,毕业,策略,金融,编程,如,开发,海量,运用,教育,3,建模,硕士,以上学历,方法,。,研究,python,）,经历,Quant,数据挖掘,及,多因子,和,序列,外汇,高校,工作,数据,进行,相关,经验,等,优先,对,任职,，,、,技术,领域,利用,资产"
量化研究员,https://jobs.51job.com/shenzhen-nsq/142112486.html,深圳-南山区,深圳,深圳,2年经验,2,本科,5,高盈国际技术服务（深圳）有限公司,民营公司,50-150人,计算机软件,信息传输、软件和信息技术服务业,1.5-3万,15,30,千/月,金融/证券/期货/投资,会计/金融/银行/保险,10-10发布,2022,,岗位职责：1、  开发A股、期货量化策略；2、  基于基本面，找寻交易逻辑，回测并开发股票中低频策略；3、  基于各种数据挖掘选股因子，提高策略绩效；4、  跟踪并优化策略的实盘表现。 任职要求：1、  计算机、数学、物理、概率统计、金融工程等理工科专业本科及以上学历； 2、  两年以上A股市场股票量化研究经验； 3、  扎实的数理统计能力、有较强的自主学习和解决问题的能力； 4、  良好的编程能力，熟练使用Python /C++； 加分项：1. 有kaggle等大数据竞赛经验，数学建模竞赛经验者优先；2. 有实盘策略者优先。,"统计,任职,物理,表现,.,编程,3,2,开发,数据挖掘,建模,交易,经验,能力,股票,基本面,理工科,实盘,计算机,选股,竞赛,加,扎实,解决问题,两年,熟练,找寻,数理统计,以上,低频,1,岗位职责,策略,基于,回测,数学,Python,因子,C++,大,工程,等,提高,及,，,专业本科,优先,/,要求,各种,kaggle,概率,逻辑,跟踪,A股,量化,数据,分项,；,绩效,、,以上学历, ,较,。,中,市场,使用,自主,研究,良好,并,金融,学习,和,优化,强,者,有,4,的,期货,："
量化研究员,https://jobs.51job.com/kunshan/155779972.html,杭州-萧山区,杭州,杭州,1年及以上,1,本科,5,南京盈渠私募基金管理有限公司,民营,,金融/投资/证券,金融业,8千-1.2万·15薪,8,12,千/月,证券,金融,06-10发布,2024,2024/6/13 13:01,"岗位职责：1. 负责量化交易策略的研发工作，包括搭建回测框架、策略建模、策略回测与跟踪和搭建因子库等；2. 协助建设并完善量化投研平台和量化交易系统；3. 持续跟踪并改进策略，推动策略池及因子库的不断优化；4. 完成上级领导安排的其他工作。岗位要求：1. 985院校数学、物理、计算机、金融工程等相关专业本科及以上学历；2. 有CTA或股票量化交易策略研发工作1年以上经验，年龄不超过30周岁；3. 精通Python或Matlab, 熟悉各类通用数据库，具备良好的编程风格；4. 具有较强的学习能力和逻辑思维能力，具有较强的工作进取心，对工作高度负责任；5. 具有日内高频交易策略研发经验者优先考虑。","建模,工作,工程,.,库,高频,包括,池及, ,上级领导,数学,熟悉,交易,投研,金融,并,平台,：,精通,及,优先,有,年,框架,搭建,相关,、,Python,专业本科,编程,回测,与,对,负责,要求,以上,的,2,逻辑思维,物理,完善,经验,4,能力,量化,；,较强,任,岗位,建设,1,,,持续,等,考虑,因子,。,通用,学习,和,年龄,研发,完成,不,良好,跟踪,安排,具有,岗位职责,计算机,交易系统,日内,或,Matlab,风格,协助,各类,股票,数据库,改进,周岁,者,具备,以上学历,进取心,优化,30,3,高度负责,不断,985,，,CTA,院校,超过,其他,5,策略,推动"
量化风控与模型岗,https://jobs.51job.com/kunshan/151896927.html,深圳-福田区,深圳,深圳,在校生/应届生,0,本科,5,国信期货有限责任公司,国企,150-500人,金融/投资/证券,金融业,120元/天,2.4996,2.4996,千/月,金融,金融,11-06发布,2023,2023/11/10 17:15,职责描述：1.协助风控人员对场外期权定价模型、波动率模型等进行验证分析，使用历史行情数据对定价进行回测等；2.参与风险管理子公司相关数据整理和分析，协助建立各类资产的业绩归因研究体系；3.协助开发各业务风险计量模型、设置压力测试情景和完善风险指标体系；4.参与数据库表结构设计、api函数封装、GUI管理工具开发等；5.公司领导交办的其他事项。任职要求：1. 2021/2022届本科生或硕士研究生；2. 具有金融、金融数学、统计、计算机或其他理工科专业背景；3. 熟练掌握各类办公软件，具备一定的编程能力（VBA、Python、R、MATLAB等），学习能力强，具有良好的团队协作意识；4. 通过相关专业资质考试（CFA、FRM等），具有期货、券商、银行、基金公司实习经历者优先；5. 保证3个月以上，每周不少于3天的实习，表现优异者可留用。,"2,学习,通过,风险管理,或,使用,VBA,能力,管理工具, ,可,整理,）,；,事项,完善,MATLAB,压力,数据库,一定,函数,每周,公司,天,，,行情,业务,4,金融,理工科,硕士,团队,2021,的,体系,资质,FRM,子公司,表,办公,实习,归因,结构设计,背景,分析,验证,保证,回测,强,、,人员,要求,具有,期货,留用,优异者,软件,R,1,本科生,专业,其他,者,经历,等,GUI,券商,模型,测试,计算机,定价,开发,届,表现,协作,各,相关,。,基金,统计,3,：,（,设置,各类,进行,2022,职责,数据,和,建立,具备,良好,风控,领导,描述,CFA,于,编程,计量,熟练掌握,对,参与,场外,5,Python,交办,研究,数学,意识,协助,以上,资产,率,个,api,月,封装,研究生,历史,风险,波动,优先,情景,不少,指标体系,.,银行,期权,考试,业绩,任职,/"
量化策略工程师,https://jobs.51job.com/shenzhen-nsq/138387550.html,深圳-南山区,深圳,深圳,2年经验,2,大专,4,深圳天媒时代文化传播有限公司,民营公司,50-150人,计算机软件,信息传输、软件和信息技术服务业,1.2-2.2万/月,12,22,千/月,金融/证券/期货/投资,会计/金融/银行/保险,04-25发布,2022,,岗位职责:1、为公司核心岗位，独立或合作研发数字货币的期权、合约量化策略，包括但不限于数据收集和整理。2、量化模型的研究和开发，策略系统的构建、实现、测试、优化、维护，资金和风险管理等工作。3、策略包括但不限于统计套利、趋势追踪、基本面量化、期权策略研究等。任职要求：1、本科以上学历，金融工程、计算机、数学、统计学等相关专业；2、2年至4年以上量化研究经验，了解常见的模型算法和运用；3、对计算机编程，例如python比较熟练；掌握扎实的数理统计知识，具有较强的建模与数值分析能力；4、量化对冲、择时方面经验丰富，能够熟练编写策略，有大资金成功运用多策略经验，回撤较小；对风险控制有丰富经验；5、有量化策略、高频交易，衍生品交易等实盘经验者优先；6、熟悉机器学习优先:团队open，能够容下大神，公司全力支持，可以自己招募搭建团队。优秀人员给分红，给合伙人待遇。,"合伙人,统计,构建,任职,或,资金,整理,编程,3,岗位,团队,2,数字,能够,可以,开发,python,多,常见,了解,建模,回撤,数值,限于,套利,交易,具有,测试,公司,经验,能力,但,基本面,编写,实盘,对,小,5,计算机,货币,扎实,下,知识,招募,熟练,分红,统计学,数理统计,以上,经验丰富,1,岗位职责,策略,open,相关,控制,方面,数学,不,至,实现,算法,机器,分析,模型,专业,工程,合作,等,待遇,衍生品,成功,大神,给,包括,工作,，,有大,为,优先,丰富,高频,自己,核心,要求,风险,独立,例如,优秀,容,量化,数据,维护,搭建,较强,；,本科,、,以上学历,运用,择时,较,。,人员,收集,年,与,对冲,全力支持,研究,风险管理,追踪,合约,熟悉,金融,学习,期权,系统,和,优化,:,者,有,4,6,的,掌握,比较,趋势,：,研发"
